"x","y","text"
1,0.753133335063414,"Text entry 1"
2,-0.738230721153854,"Text entry 2"
3,2.08504519900187,"Text entry 3"
4,0.274814132848208,"Text entry 4"
5,0.335913550772595,"Text entry 5"
6,0.784546801778558,"Text entry 6"
7,-0.589607825748575,"Text entry 7"
8,1.52430113210726,"Text entry 8"
9,-0.161984999923873,"Text entry 9"
10,-1.46719148142951,"Text entry 10"
11,-0.026457914224056,"Text entry 11"
12,2.56039930567709,"Text entry 12"
13,-0.208704649207789,"Text entry 13"
14,0.636567414360731,"Text entry 14"
15,1.61755342400747,"Text entry 15"
16,1.48049742794978,"Text entry 16"
17,0.0863023129967544,"Text entry 17"
18,-0.575933580236385,"Text entry 18"
19,0.472528521171256,"Text entry 19"
20,-0.4730037010321,"Text entry 20"
21,-0.12822210587812,"Text entry 21"
22,-2.03610895894947,"Text entry 22"
23,-0.358176248324103,"Text entry 23"
24,-0.0625705544532357,"Text entry 24"
25,-1.21772434480743,"Text entry 25"
26,0.679893829474605,"Text entry 26"
27,1.50442911340622,"Text entry 27"
28,-0.168904687367805,"Text entry 28"
29,-0.682658346811355,"Text entry 29"
30,-1.3243646936046,"Text entry 30"
31,-0.852565444448377,"Text entry 31"
32,-0.525646780666183,"Text entry 32"
33,0.450668595555337,"Text entry 33"
34,0.315539751529981,"Text entry 34"
35,-0.748916924977704,"Text entry 35"
36,0.461532528601252,"Text entry 36"
37,0.595798039223789,"Text entry 37"
38,-0.191981145251563,"Text entry 38"
39,0.491531721328455,"Text entry 39"
40,0.63599501215629,"Text entry 40"
41,0.973704018283649,"Text entry 41"
42,-0.0335837680936582,"Text entry 42"
43,0.874128323812169,"Text entry 43"
44,-0.0747718674264452,"Text entry 44"
45,1.17382314203586,"Text entry 45"
46,-0.356295623851453,"Text entry 46"
47,0.448209680549299,"Text entry 47"
48,-1.04149346668905,"Text entry 48"
49,0.88685441127972,"Text entry 49"
50,0.801223935074988,"Text entry 50"
51,0.137419660439361,"Text entry 51"
52,-0.759934532898909,"Text entry 52"
53,-1.54686278277879,"Text entry 53"
54,-0.205161456434088,"Text entry 54"
55,-0.004399354100066,"Text entry 55"
56,-0.609929057184352,"Text entry 56"
57,-0.698162236177609,"Text entry 57"
58,0.116430686583359,"Text entry 58"
59,-0.982986045139482,"Text entry 59"
60,-0.210233540228419,"Text entry 60"
61,0.0709954113031357,"Text entry 61"
62,0.196919902525683,"Text entry 62"
63,1.30095981548387,"Text entry 63"
64,0.235072158221283,"Text entry 64"
65,-1.13189960931491,"Text entry 65"
66,-0.439882153902744,"Text entry 66"
67,2.84154645659627,"Text entry 67"
68,-0.983154156766866,"Text entry 68"
69,0.0634045122482471,"Text entry 69"
70,0.716997305300783,"Text entry 70"
71,-0.366643160194396,"Text entry 71"
72,-2.06444868385009,"Text entry 72"
73,0.0274920365336825,"Text entry 73"
74,0.686622113973459,"Text entry 74"
75,-0.0812145964221756,"Text entry 75"
76,0.0459157445837109,"Text entry 76"
77,-0.159006643860507,"Text entry 77"
78,0.555824511643081,"Text entry 78"
79,0.970673988140629,"Text entry 79"
80,-0.342338379374574,"Text entry 80"
81,-0.0386084495562485,"Text entry 81"
82,0.928445500014063,"Text entry 82"
83,-0.659700676496829,"Text entry 83"
84,0.353078928829555,"Text entry 84"
85,1.88503118327682,"Text entry 85"
86,2.38109978013691,"Text entry 86"
87,0.0613432913786641,"Text entry 87"
88,0.0471454239683078,"Text entry 88"
89,-1.22016359518568,"Text entry 89"
90,0.170058343117493,"Text entry 90"
91,0.804490784149281,"Text entry 91"
92,0.237062403273924,"Text entry 92"
93,0.0114449922765326,"Text entry 93"
94,-0.737992019646462,"Text entry 94"
95,1.78414127061983,"Text entry 95"
96,-0.357389736821598,"Text entry 96"
97,1.61700947461163,"Text entry 97"
98,0.342721332724516,"Text entry 98"
99,-0.213977006341017,"Text entry 99"
100,-0.00126414698549003,"Text entry 100"
101,0.214930958751799,"Text entry 101"
102,-0.566869923373121,"Text entry 102"
103,0.272510931476155,"Text entry 103"
104,-0.248648512231546,"Text entry 104"
105,-1.50784331858858,"Text entry 105"
106,0.620388535285179,"Text entry 106"
107,0.146539987840275,"Text entry 107"
108,1.17573323455981,"Text entry 108"
109,0.298069705660732,"Text entry 109"
110,0.819288854190194,"Text entry 110"
111,0.300640091726605,"Text entry 111"
112,-0.177734698149947,"Text entry 112"
113,-0.30971232642269,"Text entry 113"
114,0.997135623797128,"Text entry 114"
115,0.682584839081245,"Text entry 115"
116,1.57261127897838,"Text entry 116"
117,0.622401989442781,"Text entry 117"
